date,modal_price
2003-05-15,300.0
2003-05-16,300.0
2003-05-17,300.0
2003-05-18,300.0
2003-05-19,300.0
2003-05-20,250.0
2003-05-21,300.0
2003-05-22,400.0
2003-05-23,300.0
2003-05-24,400.0
2003-05-25,400.0
2003-05-26,400.0
2003-05-27,400.0
2003-05-28,450.0
2003-05-29,400.0
2003-05-30,400.0
2003-05-31,400.0
2003-06-01,400.0
2003-06-02,500.0
2003-06-03,550.0
2003-06-04,500.0
2003-06-05,500.0
2003-06-06,500.0
2003-06-07,500.0
2003-06-08,400.0
2003-06-09,300.0
2003-06-10,400.0
2003-06-11,450.0
2003-06-12,400.0
2003-06-13,400.0
2003-06-14,600.0
2003-06-15,600.0
2003-06-16,600.0
2003-06-17,600.0
2003-06-18,600.0
2003-06-19,600.0
2003-06-20,600.0
2003-06-21,600.0
2003-06-22,600.0
2003-06-23,600.0
2003-06-24,600.0
2003-06-25,600.0
2003-06-26,600.0
2003-06-27,600.0
2003-06-28,550.0
2003-06-29,500.0
2003-06-30,500.0
2003-07-01,550.0
2003-07-02,500.0
2003-07-03,550.0
2003-07-04,500.0
2003-07-05,450.0
2003-07-06,400.0
2003-07-07,400.0
2003-07-08,500.0
2003-07-09,500.0
2003-07-10,600.0
2003-07-11,500.0
2003-07-12,500.0
2003-07-13,500.0
2003-07-14,500.0
2003-07-15,400.0
2003-07-16,400.0
2003-07-17,400.0
2003-07-18,400.0
2003-07-19,400.0
2003-07-20,400.0
2003-07-21,400.0
2003-07-22,500.0
2003-07-23,400.0
2003-07-24,400.0
2003-07-25,450.0
2003-07-26,400.0
2003-07-27,400.0
2003-07-28,400.0
2003-07-29,500.0
2003-07-30,500.0
2003-07-31,500.0
2003-08-01,500.0
2003-08-02,400.0
2003-08-03,400.0
2003-08-04,400.0
2003-08-05,400.0
2003-08-06,400.0
2003-08-07,400.0
2003-08-08,350.0
2003-08-09,350.0
2003-08-10,350.0
2003-08-11,350.0
2003-08-12,350.0
2003-08-13,400.0
2003-08-14,400.0
2003-08-15,300.0
2003-08-16,300.0
2003-08-17,400.0
2003-08-18,400.0
2003-08-19,350.0
2003-08-20,400.0
2003-08-21,300.0
2003-08-22,300.0
2003-08-23,300.0
2003-08-24,300.0
2003-08-25,300.0
2003-08-26,300.0
2003-08-27,300.0
2003-08-28,250.0
2003-08-29,275.0
2003-08-30,300.0
2003-08-31,300.0
2003-09-01,300.0
2003-09-02,275.0
2003-09-03,250.0
2003-09-04,250.0
2003-09-05,250.0
2003-09-06,250.0
2003-09-07,250.0
2003-09-08,250.0
2003-09-09,250.0
2003-09-10,250.0
2003-09-11,250.0
2003-09-12,250.0
2003-09-13,250.0
2003-09-14,200.0
2003-09-15,200.0
2003-09-16,250.0
2003-09-17,250.0
2003-09-18,250.0
2003-09-19,250.0
2003-09-20,250.0
2003-09-21,250.0
2003-09-22,250.0
2003-09-23,200.0
2003-09-24,200.0
2003-09-25,200.0
2003-09-26,250.0
2003-09-27,250.0
2003-09-28,250.0
2003-09-29,250.0
2003-09-30,250.0
2003-10-01,300.0
2003-10-02,250.0
2003-10-03,250.0
2003-10-04,250.0
2003-10-05,250.0
2003-10-06,250.0
2003-10-07,250.0
2003-10-08,250.0
2003-10-09,250.0
2003-10-10,250.0
2003-10-11,225.0
2003-10-12,250.0
2003-10-13,250.0
2003-10-14,250.0
2003-10-15,250.0
2003-10-16,250.0
2003-10-17,275.0
2003-10-18,250.0
2003-10-19,250.0
2003-10-20,250.0
2003-10-21,250.0
2003-10-22,250.0
2003-10-23,250.0
2003-10-24,250.0
2003-10-25,250.0
2003-10-26,212.5
2003-10-27,175.0
2003-10-28,175.0
2003-10-29,250.0
2003-10-30,200.0
2003-10-31,250.0
2003-11-01,250.0
2003-11-02,250.0
2003-11-03,200.0
2003-11-04,250.0
2003-11-05,250.0
2003-11-06,250.0
2003-11-07,250.0
2003-11-08,250.0
2003-11-09,250.0
2003-11-10,250.0
2003-11-11,262.5
2003-11-12,275.0
2003-11-13,262.5
2003-11-14,250.0
2003-11-15,250.0
2003-11-16,250.0
2003-11-17,250.0
2003-11-18,250.0
2003-11-19,250.0
2003-11-20,250.0
2003-11-21,250.0
2003-11-22,250.0
2003-11-23,250.0
2003-11-24,250.0
2003-11-25,250.0
2003-11-26,250.0
2003-11-27,250.0
2003-11-28,250.0
2003-11-29,250.0
2003-11-30,250.0
2003-12-01,250.0
2003-12-02,250.0
2003-12-03,250.0
2003-12-04,250.0
2003-12-05,250.0
2003-12-06,300.0
2003-12-07,250.0
2003-12-08,300.0
2003-12-09,300.0
2003-12-10,300.0
2003-12-11,300.0
2003-12-12,300.0
2003-12-13,300.0
2003-12-14,300.0
2003-12-15,250.0
2003-12-16,300.0
2003-12-17,400.0
2003-12-18,350.0
2003-12-19,324.3055555305556
2003-12-20,314.1666666456667
2003-12-21,308.81410254857
2003-12-22,305.5555555446181
2003-12-23,303.39912279974607
2003-12-24,301.8939393896006
2003-12-25,300.8055555535956
2003-12-26,300.0
2003-12-27,300.0
2003-12-28,300.0
2003-12-29,300.0
2003-12-30,300.0
2003-12-31,275.0
2004-01-01,280.55555308641755
2004-01-02,293.51851961591285
2004-01-03,300.0
2004-01-04,300.0
2004-01-05,300.0
2004-01-06,300.0
2004-01-07,275.0
2004-01-08,300.0
2004-01-09,250.0
2004-01-10,300.0
2004-01-11,250.0
2004-01-12,200.0
2004-01-13,250.0
2004-01-14,300.0
2004-01-15,300.0
2004-01-16,300.0
2004-01-17,300.0
2004-01-18,300.0
2004-01-19,300.0
2004-01-20,300.0
2004-01-21,300.0
2004-01-22,300.0
2004-01-23,300.0
2004-01-24,250.0
2004-01-25,250.0
2004-01-26,250.0
2004-01-27,250.0
2004-01-28,300.0
2004-01-29,250.0
2004-01-30,250.0
2004-01-31,250.0
2004-02-01,250.0
2004-02-02,250.0
2004-02-03,250.0
2004-02-04,250.0
2004-02-05,250.0
2004-02-06,250.0
2004-02-07,250.0
2004-02-08,250.0
2004-02-09,200.0
2004-02-10,200.0
2004-02-11,200.0
2004-02-12,200.0
2004-02-13,250.0
2004-02-14,250.0
2004-02-15,250.0
2004-02-16,250.0
2004-02-17,250.0
2004-02-18,250.0
2004-02-19,250.0
2004-02-20,300.0
2004-02-21,250.0
2004-02-22,250.0
2004-02-23,250.0
2004-02-24,300.0
2004-02-25,250.0
2004-02-26,250.0
2004-02-27,250.0
2004-02-28,300.0
2004-02-29,250.0
2004-03-01,250.0
2004-03-02,250.0
2004-03-03,300.0
2004-03-04,250.0
2004-03-05,250.0
2004-03-06,300.0
2004-03-07,275.0
2004-03-08,250.0
2004-03-09,250.0
2004-03-10,300.0
2004-03-11,250.0
2004-03-12,250.0
2004-03-13,300.0
2004-03-14,250.0
2004-03-15,250.0
2004-03-16,250.0
2004-03-17,250.0
2004-03-18,250.0
2004-03-19,300.0
2004-03-20,250.0
2004-03-21,250.0
2004-03-22,250.0
2004-03-23,200.0
2004-03-24,200.0
2004-03-25,350.0
2004-03-26,300.0
2004-03-27,300.0
2004-03-28,300.0
2004-03-29,250.0
2004-03-30,300.0
2004-03-31,300.0
2004-04-01,250.0
2004-04-02,300.0
2004-04-03,300.0
2004-04-04,300.0
2004-04-05,300.0
2004-04-06,250.0
2004-04-07,233.33333330833332
2004-04-08,250.0
2004-04-09,300.0
2004-04-10,300.0
2004-04-11,300.0
2004-04-12,300.0
2004-04-13,300.0
2004-04-14,300.0
2004-04-15,350.0
2004-04-16,250.0
2004-04-17,275.0
2004-04-18,300.0
2004-04-19,250.0
2004-04-20,250.0
2004-04-21,250.0
2004-04-22,250.0
2004-04-23,250.0
2004-04-24,250.0
2004-04-25,250.0
2004-04-26,250.0
2004-04-27,250.0
2004-04-28,250.0
2004-04-29,250.0
2004-04-30,250.0
2004-05-01,250.0
2004-05-02,250.0
2004-05-03,250.0
2004-05-04,250.0
2004-05-05,250.0
2004-05-06,250.0
2004-05-07,300.0
2004-05-08,330.7291666495768
2004-05-09,342.1568627208766
2004-05-10,337.49999997569444
2004-05-11,319.2982455946445
2004-05-12,289.5833333223958
2004-05-13,250.0
2004-05-14,200.0
2004-05-15,250.0
2004-05-16,300.0
2004-05-17,300.0
2004-05-18,300.0
2004-05-19,300.0
2004-05-20,300.0
2004-05-21,300.0
2004-05-22,300.0
2004-05-23,308.7499976562485
2004-05-24,325.0
2004-05-25,341.2500023437515
2004-05-26,350.0
2004-05-27,350.0
2004-05-28,325.0
2004-05-29,300.0
2004-05-30,300.0
2004-05-31,350.0
2004-06-01,400.0
2004-06-02,400.0
2004-06-03,400.0
2004-06-04,400.0
2004-06-05,300.0
2004-06-06,300.0
2004-06-07,350.0
2004-06-08,350.0
2004-06-09,400.0
2004-06-10,300.0
2004-06-11,450.0
2004-06-12,447.9838692767953
2004-06-13,425.0
2004-06-14,408.4205023480856
2004-06-15,400.0
2004-06-16,400.0
2004-06-17,400.0
2004-06-18,250.0
2004-06-19,275.0
2004-06-20,300.0
2004-06-21,300.0
2004-06-22,300.0
2004-06-23,300.0
2004-06-24,306.77146260569293
2004-06-25,320.17941481176086
2004-06-26,339.05635615877867
2004-06-27,361.52297085828195
2004-06-28,384.34808586757583
2004-06-29,401.46659650114617
2004-06-30,400.0
2004-07-01,371.14074820468556
2004-07-02,325.0
2004-07-03,271.86858625158845
2004-07-04,250.0
2004-07-05,300.0
2004-07-06,300.0
2004-07-07,300.0
2004-07-08,300.0
2004-07-09,309.25925733881985
2004-07-10,327.7777764274688
2004-07-11,350.0
2004-07-12,371.6049393385157
2004-07-13,389.18128774665735
2004-07-14,400.0
2004-07-15,400.0
2004-07-16,400.0
2004-07-17,400.0
2004-07-18,400.0
2004-07-19,400.0
2004-07-20,400.0
2004-07-21,400.0
2004-07-22,400.0
2004-07-23,400.0
2004-07-24,400.0
2004-07-25,400.0
2004-07-26,400.0
2004-07-27,300.0
2004-07-28,300.0
2004-07-29,300.0
2004-07-30,300.0
2004-07-31,300.0
2004-08-01,300.0
2004-08-02,300.0
2004-08-03,300.0
2004-08-04,300.0
2004-08-05,300.0
2004-08-06,300.0
2004-08-07,300.0
2004-08-08,325.0
2004-08-09,350.0
2004-08-10,350.0
2004-08-11,350.0
2004-08-12,300.0
2004-08-13,300.0
2004-08-14,250.0
2004-08-15,300.0
2004-08-16,250.0
2004-08-17,250.0
2004-08-18,300.0
2004-08-19,350.0
2004-08-20,300.0
2004-08-21,300.0
2004-08-22,300.0
